M3-01-01-pi1	V	1	0.02410660616729212	--undefined--	--undefined--
M3-01-01-pi1	V	2	0.04821321233458424	310.82487761617574	2228.0378388044696
M3-01-01-pi1	V	3	0.07231981850187635	290.25195533181164	2271.0586369864573
M3-01-01-pi1	V	4	0.09642642466916848	288.71147573954374	2279.9355443877084
M3-01-01-pi1	V	5	0.12053303083646061	291.0190251362582	2276.4996899383154
M3-01-01-pi1	V	6	0.1446396370037527	280.8946845457343	2284.5895832179704
M3-01-01-pi1	V	7	0.16874624317104484	275.3476879277825	2267.1552501994174
M3-01-01-pi1	V	8	0.19285284933833696	285.1802364670645	2306.191707177351
M3-01-01-pi1	V	9	0.2169594555056291	305.00497197012993	2294.8421825657088
M3-01-01-pi1	V	10	0.24106606167292122	--undefined--	--undefined--
M3-01-01-pi1	V	11	0.2651726678402133	--undefined--	--undefined--
M3-01-01-pi1	i	target	0.13228573871294835	286.5375552995655	2290.020592325748
M3-01-02-ti1	V	1	0.02464692835303509	343.87267238983503	2221.9828732868405
M3-01-02-ti1	V	2	0.04929385670607018	341.8953182649566	2288.237295838073
M3-01-02-ti1	V	3	0.07394078505910527	340.9058035283653	2287.5904686963845
M3-01-02-ti1	V	4	0.09858771341214036	340.7722481757822	2307.4548736243314
M3-01-02-ti1	V	5	0.12323464176517544	339.0052279212229	2304.404127817837
M3-01-02-ti1	V	6	0.14788157011821054	339.9268941300891	2315.192844164354
M3-01-02-ti1	V	7	0.17252849847124563	341.5703011074805	2358.8545287509705
M3-01-02-ti1	V	8	0.19717542682428071	355.82603373151534	2379.0182179574617
M3-01-02-ti1	V	9	0.2218223551773158	344.890492450242	2397.6661785899614
M3-01-02-ti1	V	10	0.24646928353035089	330.6453915936213	2417.1213937029124
M3-01-02-ti1	V	11	0.27111621188338597	--undefined--	--undefined--
M3-01-02-ti1	i	target	0.13534634278982083	338.5190162175548	2309.5923136977685
M3-01-03-hu2	V	1	0.0254002085014311	357.83111081151264	822.3389781796513
M3-01-03-hu2	V	2	0.0508004170028622	362.9241436811319	799.3356791814474
